Frequency,APSD,sd
9.6,2.15356e-07,1.13521e-09
12.8,2.13221e-07,1.12396e-09
16,2.13335e-07,1.12467e-09
19.2,2.14046e-07,1.12825e-09
22.4,2.15162e-07,1.13422e-09
25.6,2.15253e-07,1.13474e-09
28.8,2.14213e-07,1.12926e-09
32,2.13686e-07,1.12633e-09
35.2,2.13498e-07,1.12554e-09
38.4,2.12673e-07,1.12118e-09
41.6,2.14779e-07,1.13218e-09
44.8,2.13707e-07,1.12651e-09
48,2.12714e-07,1.12146e-09
51.2,2.13494e-07,1.1254e-09
54.4,2.13152e-07,1.12364e-09
57.6,2.13419e-07,1.1252e-09
60.8,2.1488e-07,1.13283e-09
64,2.14218e-07,1.12933e-09
67.2,2.11567e-07,1.11544e-09
70.4,2.11887e-07,1.11703e-09
73.6,2.11884e-07,1.11699e-09
76.8,2.11255e-07,1.1137e-09
80,2.10841e-07,1.11148e-09
83.2,2.10519e-07,1.10976e-09
86.4,2.10589e-07,1.11014e-09
89.6,2.10376e-07,1.10926e-09
92.8,2.09613e-07,1.10487e-09
96,2.11453e-07,1.11475e-09
99.2,2.10675e-07,1.11053e-09
102.4,2.11005e-07,1.11219e-09
105.6,2.09666e-07,1.10513e-09
108.8,2.09787e-07,1.10578e-09
112,2.09702e-07,1.10544e-09
115.2,2.08588e-07,1.09958e-09
118.4,2.08023e-07,1.09668e-09
121.6,2.08856e-07,1.10093e-09
124.8,2.09311e-07,1.10339e-09
128,2.07677e-07,1.09486e-09
131.2,2.06315e-07,1.08762e-09
134.4,2.06929e-07,1.09083e-09
137.6,2.03904e-07,1.07488e-09
140.8,2.04215e-07,1.0768e-09
144,2.05523e-07,1.08348e-09
147.2,2.04673e-07,1.07893e-09
150.4,2.03523e-07,1.07295e-09
153.6,2.03732e-07,1.074e-09
156.8,2.02367e-07,1.06672e-09
160,2.02804e-07,1.06903e-09
163.2,2.02071e-07,1.06532e-09
166.4,2.01664e-07,1.06306e-09
169.6,2.02877e-07,1.06957e-09
172.8,2.03338e-07,1.07187e-09
176,2.01357e-07,1.06137e-09
179.2,1.99493e-07,1.0515e-09
182.4,1.98586e-07,1.04682e-09
185.6,2.00354e-07,1.0561e-09
188.8,2.00023e-07,1.05444e-09
192,1.99293e-07,1.0505e-09
195.2,1.98716e-07,1.04745e-09
198.4,1.98658e-07,1.04713e-09
201.6,1.97974e-07,1.04349e-09
204.8,1.9739e-07,1.04042e-09
208,1.9725e-07,1.0397e-09
211.2,1.96673e-07,1.03677e-09
214.4,1.95771e-07,1.03212e-09
217.6,1.95495e-07,1.03068e-09
220.8,1.94922e-07,1.0277e-09
224,1.92847e-07,1.01663e-09
227.2,1.9294e-07,1.01702e-09
230.4,1.94527e-07,1.02532e-09
233.6,1.93622e-07,1.02052e-09
236.8,1.93348e-07,1.0192e-09
240,1.91517e-07,1.00952e-09
243.2,1.91545e-07,1.00961e-09
246.4,1.9194e-07,1.01182e-09
249.6,1.91159e-07,1.00771e-09
252.8,1.90921e-07,1.00648e-09
256,1.91438e-07,1.00909e-09
259.2,1.90772e-07,1.0057e-09
262.4,1.90625e-07,1.00487e-09
265.6,1.88555e-07,9.93948e-10
268.8,1.87768e-07,9.89978e-10
272,1.87468e-07,9.88375e-10
275.2,1.88884e-07,9.95875e-10
278.4,1.88905e-07,9.95837e-10
281.6,1.88661e-07,9.94549e-10
284.8,1.88296e-07,9.92716e-10
288,1.85395e-07,9.77438e-10
291.2,1.85282e-07,9.76747e-10
294.4,1.85893e-07,9.79909e-10
297.6,1.84985e-07,9.75202e-10
300.8,1.84693e-07,9.73773e-10
304,1.84038e-07,9.70125e-10
307.2,1.84691e-07,9.73555e-10
310.4,1.82828e-07,9.63763e-10
313.6,1.82833e-07,9.63879e-10
316.8,1.82274e-07,9.60893e-10
320,1.8151e-07,9.56905e-10
323.2,1.83555e-07,9.67633e-10
326.4,1.82343e-07,9.61195e-10
329.6,1.81328e-07,9.55884e-10
332.8,1.81534e-07,9.56905e-10
336,1.81073e-07,9.54433e-10
339.2,1.81269e-07,9.55588e-10
342.4,1.8053e-07,9.51752e-10
345.6,1.79095e-07,9.44219e-10
348.8,1.79958e-07,9.48684e-10
352,1.78117e-07,9.3883e-10
355.2,1.77535e-07,9.3584e-10
358.4,1.76646e-07,9.3129e-10
361.6,1.76816e-07,9.32129e-10
364.8,1.77988e-07,9.38172e-10
368,1.76873e-07,9.3231e-10
371.2,1.7863e-07,9.41527e-10
374.4,1.77527e-07,9.35773e-10
377.6,1.76647e-07,9.31184e-10
380.8,1.77004e-07,9.33011e-10
384,1.75865e-07,9.27007e-10
387.2,1.74659e-07,9.20646e-10
390.4,1.74976e-07,9.22453e-10
393.6,1.7556e-07,9.25483e-10
